date,close,volume,open,high,low,symbol
2023-02-14,272.17,37047920,272.67,274.97,269.28,MSFT
2023-02-13,271.32,44630920,267.64,274.6,267.15,MSFT
2023-02-10,263.1,25818490,261.53,264.09,260.662,MSFT
2023-02-09,263.62,42375100,273.8,273.98,262.8,MSFT
2023-02-08,266.73,54686050,273.2,276.76,266.21,MSFT
2023-02-07,267.56,50841370,260.53,268.775,260.08,MSFT
2023-02-06,256.77,22518000,257.44,258.3,254.78,MSFT
2023-02-03,258.35,29077260,259.542,264.2,257.1,MSFT
2023-02-02,264.6,39940440,258.82,264.69,257.25,MSFT
2023-02-01,252.75,31259910,248.0,255.18,245.47,MSFT
2023-01-31,247.81,26541070,243.45,247.95,242.945,MSFT
2023-01-30,242.71,25867370,244.51,245.6,242.2,MSFT
2023-01-27,248.16,26498940,248.99,249.83,246.83,MSFT
2023-01-26,248.0,33454490,243.65,248.31,242.0,MSFT
2023-01-25,240.61,66526640,234.48,243.3,230.9,MSFT
2023-01-24,242.04,40234440,242.5,243.95,240.44,MSFT
2023-01-23,242.58,31933950,241.1,245.165,239.65,MSFT
2023-01-20,240.22,35389810,234.855,240.74,234.51,MSFT
2023-01-19,231.93,28623030,233.78,235.52,230.68,MSFT
2023-01-18,235.81,30028690,241.565,242.38,235.52,MSFT
2023-01-17,240.35,29831260,237.97,240.91,237.09,MSFT
2023-01-13,239.23,21333270,237.002,239.37,234.92,MSFT
2023-01-12,238.51,27269490,235.26,239.9,233.56,MSFT
2023-01-11,235.77,28669330,231.29,235.95,231.11,MSFT
2023-01-10,228.85,27033880,227.755,231.31,227.33,MSFT
2023-01-09,227.12,27369780,226.45,231.2366,226.41,MSFT
2023-01-06,224.93,43613570,223.0,225.7601,219.35,MSFT
2023-01-05,222.31,39585620,227.2,227.55,221.7602,MSFT
2023-01-04,229.1,50623390,232.275,232.87,225.96,MSFT
2023-01-03,239.58,25740040,243.08,245.75,237.4,MSFT
2022-12-30,239.82,21938470,238.21,239.96,236.66,MSFT
2022-12-29,241.01,19770690,235.65,241.92,235.65,MSFT
2022-12-28,234.53,17457100,236.89,239.72,234.17,MSFT
2022-12-27,236.96,16688650,238.7,238.93,235.83,MSFT
2022-12-23,238.73,21206980,236.11,238.87,233.9428,MSFT
2022-12-22,238.19,28651660,241.255,241.99,233.87,MSFT
2022-12-21,244.43,23690610,241.69,245.615,240.11,MSFT
2022-12-20,241.8,25150800,239.4,242.91,238.42,MSFT
2022-12-19,240.45,29696440,244.86,245.21,238.71,MSFT
2022-12-16,244.69,86101990,248.55,249.84,243.51,MSFT
2022-12-15,249.01,35568090,253.72,254.2,247.34,MSFT
2022-12-14,257.22,35410930,257.13,262.588,254.31,MSFT
2022-12-13,256.92,42196880,261.69,263.915,253.07,MSFT
2022-12-12,252.51,30665070,247.445,252.54,247.17,MSFT
2022-12-09,245.42,20609740,244.695,248.31,244.16,MSFT
2022-12-08,247.4,22611760,244.84,248.74,243.06,MSFT
2022-12-07,244.37,20481520,244.83,246.16,242.205,MSFT
2022-12-06,245.12,22463730,250.82,251.86,243.78,MSFT
2022-12-05,250.2,23435290,252.01,253.819,248.06,MSFT
2022-12-02,255.02,21528520,249.82,256.06,249.69,MSFT
2022-12-01,254.69,26041520,253.87,256.12,250.9156,MSFT
2022-11-30,255.14,47594240,240.57,255.33,239.86,MSFT
2022-11-29,240.33,17956310,241.4,242.79,238.21,MSFT
2022-11-28,241.76,24810270,246.08,246.65,240.8,MSFT
2022-11-25,247.49,9200772,247.31,248.7,246.73,MSFT
2022-11-23,247.58,19508460,245.105,248.28,244.27,MSFT
2022-11-22,245.03,19665700,243.59,245.31,240.71,MSFT
2022-11-21,242.05,26394700,241.43,244.67,241.19,MSFT
2022-11-18,241.22,27613520,243.51,243.74,239.03,MSFT
2022-11-17,241.68,23123540,237.78,243.25,237.63,MSFT
2022-11-16,241.73,24093270,242.79,243.8,240.42,MSFT
2022-11-15,241.97,31390120,245.66,247.0,240.03,MSFT
2022-11-14,241.55,31123340,241.985,243.91,239.21,MSFT
2022-11-11,247.11,34620250,242.99,247.99,241.93,MSFT
2022-11-10,242.98,46268020,235.43,243.33,235.0,MSFT
2022-11-09,224.51,27852910,227.37,228.6327,224.33,MSFT
2022-11-08,228.87,28192550,228.7,231.65,225.84,MSFT
2022-11-07,227.87,33497980,221.99,228.41,221.28,MSFT
2022-11-04,221.39,36789060,217.55,221.59,213.431,MSFT
2022-11-03,214.25,36633920,220.09,220.41,213.98,MSFT
2022-11-02,220.1,38407010,229.46,231.3,220.04,MSFT
2022-11-01,228.17,30592270,234.6,235.74,227.325,MSFT
2022-10-31,232.13,28357270,233.76,234.92,231.15,MSFT
2022-10-28,235.87,40647720,226.24,236.6,226.05,MSFT
2022-10-27,226.75,40424650,231.04,233.69,225.78,MSFT
2022-10-26,231.32,82684850,231.17,238.3,230.06,MSFT
2022-10-25,250.66,34775510,247.26,251.04,245.83,MSFT
2022-10-24,247.25,24911210,243.76,247.84,241.295,MSFT
2022-10-21,242.12,26299730,234.74,243.0,234.5,MSFT
2022-10-20,236.15,21811020,235.77,241.31,234.87,MSFT
2022-10-19,236.48,19985700,237.04,239.61,234.29,MSFT
2022-10-18,238.5,26329590,243.24,243.93,235.37,MSFT
2022-10-17,237.53,28142270,235.82,238.96,235.135,MSFT
2022-10-14,228.56,30198590,235.54,237.24,228.34,MSFT
2022-10-13,234.24,42551820,219.85,236.1,219.13,MSFT
2022-10-12,225.75,21903940,225.4,227.86,223.96,MSFT
2022-10-11,225.41,30473950,227.62,229.06,224.11,MSFT
2022-10-10,229.25,29743610,233.05,234.559,226.73,MSFT
2022-10-07,234.24,37769600,240.902,241.32,233.17,MSFT
2022-10-06,246.79,20239890,247.93,250.34,246.08,MSFT
2022-10-05,249.2,20347140,245.99,250.58,244.1,MSFT
2022-10-04,248.88,34888420,245.09,250.36,244.975,MSFT
2022-10-03,240.74,28880360,235.41,241.61,234.66,MSFT
2022-09-30,232.9,35694830,238.29,240.54,232.73,MSFT
2022-09-29,237.5,27484230,238.89,239.95,234.41,MSFT
2022-09-28,241.07,29029680,236.81,242.33,234.73,MSFT
2022-09-27,236.41,27018730,239.98,241.8,234.5,MSFT
2022-09-26,237.45,27694190,237.045,241.45,236.9,MSFT
2022-09-23,237.92,34176050,239.54,241.13,235.2,MSFT
2022-09-22,240.98,31061160,237.87,243.86,237.57,MSFT
2022-09-21,238.95,28625560,244.27,247.66,238.9,MSFT
2022-09-20,242.45,26660300,242.065,243.51,239.64,MSFT
